datetime,open,close
1588590000000,160.46,160.43
1588590120000,160.31,160.31
1588590300000,160.35,160.35
1588590600000,160.35,160.33
1588590660000,160.33,160.33
1588590960000,160.34,160.34
1588591200000,160.34,160.35
1588591260000,160.44,160.44
1588591380000,160.52,160.52
1588591440000,160.52,160.52
1588591680000,160.52,160.52
1588591800000,160.5,160.5
1588591860000,160.5,160.5
1588592220000,160.5,160.5
1588592340000,160.5,160.4
1588592400000,160.4,160.4
1588593180000,160.65,160.65
1588593300000,160.72,160.7
1588593420000,160.58,160.58
1588593600000,160.94,160.82
1588593660000,160.49,160.49
1588593720000,160.47,160.47
1588593840000,160.5,160.5
1588593900000,160.5,160.46
1588594140000,160.55,160.55
1588594200000,160.56,160.56
1588594260000,160.65,160.65
1588594380000,160.67,160.67
1588594440000,160.79,160.79
1588594560000,160.77,160.78
1588594620000,160.68,160.65
1588594740000,160.6,160.6
1588594800000,160.6,160.6
1588594860000,160.58,160.58
1588594980000,160.44,160.46
1588595100000,160.35,160.34
1588595160000,160.34,159.9
1588595280000,159.9501,159.9501
1588595340000,160.05,160.05
1588595400000,160.05,159.9299
1588595520000,159.9,159.88
1588595580000,160.0,159.9501
1588595640000,159.95,159.7
1588595760000,159.83,159.83
1588595820000,159.81,159.72
1588596000000,159.78,159.7
1588596060000,159.76,159.76
1588596120000,159.78,159.78
1588596300000,159.75,159.67
1588596420000,159.99,159.99
1588596540000,159.99,159.99
1588596600000,159.99,159.99
1588596720000,160.05,160.05
1588596780000,160.05,160.05
1588596840000,160.01,160.01
1588596960000,160.01,159.95
1588597020000,159.91,159.91
1588597080000,159.98,159.98
1588597200000,160.09,160.09
1588597260000,160.06,160.04
1588597320000,160.04,159.91
1588597380000,159.91,159.87
1588597440000,159.86,159.84
1588597500000,159.82,159.71
1588597560000,159.7,159.72
1588597800000,159.96,159.96
1588597860000,159.97,160.03
1588597920000,160.09,160.09
1588597980000,160.16,160.16
1588598040000,160.16,160.16
1588598100000,160.32,160.31
1588598160000,160.32,160.32
1588598220000,160.26,160.25
1588598280000,160.25,160.26
1588598340000,160.3,160.35
1588598400000,160.35,160.35
1588598460000,160.39,160.39
1588598520000,160.39,160.42
1588598580000,160.39,160.34
1588598640000,160.37,160.34
1588598700000,160.32,160.33
1588598760000,160.38,160.33
1588598820000,160.3,160.28
1588598880000,160.27,160.47
1588598940000,160.34,160.29
1588599000000,160.33,160.26
1588599060000,160.28,160.46
1588599120000,160.49,160.6
1588599180000,160.6,160.5532
1588599240000,160.56,160.6266
1588599300000,160.61,160.57
1588599360000,160.58,160.48
1588599420000,160.48,160.455
1588599480000,160.46,160.51
1588599540000,160.515,160.55
1588599600000,160.54,160.63
1588599660000,160.63,160.7
1588599720000,160.68,160.6045
1588599780000,160.6,160.62
1588599840000,160.605,160.5501
1588599900000,160.52,160.4501
1588599960000,160.47,160.45
1588600020000,160.44,160.54
1588600080000,160.5398,160.688
1588600140000,160.695,160.69
1588600200000,160.68,160.55
1588600260000,160.5596,160.54
1588600320000,160.548,160.735
1588600380000,160.744,160.7923
1588600440000,160.79,160.84
1588600500000,160.854,160.8221
1588600560000,160.81,160.7507
1588600620000,160.76,160.64
1588600680000,160.625,160.59
1588600740000,160.58,160.49
1588600800000,160.5,160.47
1588600860000,160.48,160.65
1588600920000,160.66,160.61
1588600980000,160.62,160.5907
1588601040000,160.595,160.6313
1588601100000,160.64,160.53
1588601160000,160.52,160.67
1588601220000,160.695,160.67
1588601280000,160.68,160.575
1588601340000,160.575,160.7
1588601400000,160.68,160.64
1588601460000,160.64,160.62
1588601520000,160.6299,160.69
1588601580000,160.7,160.6
1588601640000,160.58,160.57
1588601700000,160.6,160.56
1588601760000,160.56,160.58
1588601820000,160.6,160.63
1588601880000,160.62,160.66
1588601940000,160.65,160.64
1588602000000,160.6231,160.63
1588602060000,160.6389,160.6511
1588602120000,160.66,160.65
1588602180000,160.66,160.6401
1588602240000,160.64,160.61
1588602300000,160.6415,160.66
1588602360000,160.66,160.665
1588602420000,160.6745,160.66
1588602480000,160.66,160.61
1588602540000,160.61,160.74
1588602600000,160.725,160.66
1588602660000,160.7011,160.69
1588602720000,160.685,160.7645
1588602780000,160.76,160.82
1588602840000,160.8298,160.7527
1588602900000,160.755,160.65
1588602960000,160.64,160.609
1588603020000,160.6,160.5101
1588603080000,160.51,160.48
1588603140000,160.49,160.48
1588603200000,160.48,160.3
1588603260000,160.3098,160.23
1588603320000,160.24,160.2301
1588603380000,160.24,160.16
1588603440000,160.15,160.2411
1588603500000,160.24,160.15
1588603560000,160.14,160.1537
1588603620000,160.1505,160.16
1588603680000,160.1521,160.165
1588603740000,160.17,160.28
1588603800000,160.29,160.11
1588603860000,160.12,159.955
1588603920000,159.97,160.03
1588603980000,160.021,159.9801
1588604040000,159.9621,159.945
1588604100000,159.95,159.925
1588604160000,159.92,159.995
1588604220000,160.01,160.09
1588604280000,160.08,160.0701
1588604340000,160.09,160.05
1588604400000,160.05,160.025
1588604460000,160.04,160.02
1588604520000,160.0,160.03
1588604580000,160.04,160.05
1588604640000,160.0528,160.15
1588604700000,160.13,160.1801
